,ID,X,Y
1482,64,3968.466553,4142.989746
1483,65,3744.575928,4142.989746
1566,66,3845.098145,4145.779297
1610,67,3609.023193,4147.174316
1643,68,3692.791748,4148.569336
1680,69,3781.129639,4149.963867
1725,70,3746.099121,4151.358887
1762,71,3809.0625,4006.58374
1788,72,3612.450195,4310.515137
1796,73,3983.697021,4154.148926
1797,74,3848.144287,4154.148926
1798,75,3695.837891,4154.148926
1833,76,3912.113037,4155.543457
1958,77,3785.69873,4159.728516
2054,78,3849.66748,4162.518066
2055,79,3752.191406,4162.518066
2056,80,3700.407227,4162.518066
2058,81,3654.715088,4162.518066
2075,82,3681.932373,4020.197998
2181,83,3988.266357,4166.702637
2182,84,3637.961426,4166.702637
2205,85,3631.275146,4296.147949
2230,86,3825.29834,4168.097656
2231,87,3788.744873,4168.097656
2261,88,3703.087646,4001.576172
2269,89,3854.236572,4169.492676
2270,90,3756.760498,4169.492676
2305,91,3916.682373,4170.887207
2306,92,3622.730713,4170.887207
2343,93,3660.807373,4172.282227
2351,94,3757.963623,4462.278809
2382,95,3750.668213,4173.677246
2383,96,3703.453125,4173.677246
2384,97,3610.546387,4173.677246
2386,98,3692.86792,4400.234375
2428,99,3791.791016,4175.071777
2473,100,3641.007568,4176.466797
2519,101,3994.358643,4177.861816
2566,102,3829.867676,4179.256836
2624,103,3637.078125,4160.397949
2643,104,3922.774414,4182.046387
2644,105,3860.328857,4182.046387
2645,106,3665.376709,4182.046387
2691,107,3708.022461,4183.441406
2692,108,3615.115479,4183.441406
2746,109,3809.0625,4039.251953
2779,110,3995.226807,4427.89502
2796,111,3797.883301,4187.625977
2797,112,3743.052979,4187.625977
2798,113,3645.576904,4187.625977
2834,114,3888.901611,4021.216309
2843,115,3998.927734,4189.020996
2864,116,3843.773193,4332.75
2865,117,3727.715576,4053.39624
2868,118,3882.733154,4004.770508
2880,119,3834.436768,4190.415527
2970,120,3927.34375,4193.205566
2971,121,3669.945801,4193.205566
2972,122,3618.161621,4193.205566
3028,123,3866.421143,4194.600586
3029,124,3765.898926,4194.600586
3030,125,3712.591553,4194.600586
3066,126,3756.760498,4195.995117
3067,127,3659.284424,4195.995117
3102,128,3802.452393,4197.390137
3103,129,3651.668945,4197.390137
3151,130,3746.099121,4198.785156
3197,131,3840.529053,4200.180176
3325,132,3664.569336,4409.329102
3342,133,3931.912842,4204.364746
3343,134,3770.468018,4204.364746
3344,135,3674.515137,4204.364746
3345,136,3624.253906,4204.364746
3403,137,3870.990234,4205.759277
3404,138,3715.637695,4205.759277
3496,139,3631.016357,4306.121582
3499,140,3808.544678,4208.549316
3500,141,3656.238281,4208.549316
3545,142,3749.145264,4209.944336
3565,143,3730.274414,4339.138184
3633,144,3679.084229,4212.733887
3687,145,3627.300049,4214.128906
3727,146,3936.482178,4215.523438
3728,147,3776.560303,4215.523438
3780,148,3875.55957,4216.918457
3781,149,3720.207031,4216.918457
3789,150,3822.602539,4046.170654
3822,151,3765.898926,4218.313477
3823,152,3768.945068,4218.313477
3824,153,3660.807373,4218.313477
3869,154,3759.456299,4390.679199
3912,155,3753.714355,4221.103027
3953,156,3826.547363,4061.877197
4040,157,3942.574463,4225.288086
4041,158,3784.175781,4225.288086
4042,159,3683.65332,4225.288086
4043,160,3631.869141,4225.288086
4101,161,3726.299316,4226.682617
4158,162,3881.651855,4228.077637
4177,163,3723.54248,4378.627441
4200,164,3816.159912,4229.472656
4201,165,3665.376709,4229.472656
4247,166,3758.283447,4230.867188
4292,167,3912.113037,4232.262207
4329,168,3770.026367,4048.402588
4452,169,3945.620605,4236.446777
4453,170,3787.22168,4236.446777
4454,171,3688.222656,4236.446777
